Human milk	"Milk, human, mature, fluid"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Noodles, egg, dry, enriched"
Soups	"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Rice, white, long-grain, regular, raw, enriched"
Soups	"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Soup, vegetarian vegetable, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw"
Soups	"Onions, raw"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Peppers, sweet, green, raw"
Soups	"Garlic, raw"
Soups	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Soups	"Cabbage, raw"
Soups	"Carrots, raw"
Soups	"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
Soups	"Water, tap, drinking"
Soups	"Salt, table"
Soups	"Chorizo, pork and beef"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Beans, snap, green, raw"
Soups	"Soup, chunky vegetable, canned, ready-to-serve"
Soups	"Soup, minestrone, canned, chunky, ready-to-serve"
Soups	"Soup, chunky beef, canned, ready-to-serve"
Soups	"Soup, vegetable broth, ready to serve"
Baby food: vegetable	"Babyfood, vegetables, spinach, creamed, strained"
Baby food: meat and dinners	"Water, tap, municipal"
Baby food: meat and dinners	"Broccoli, cooked, boiled, drained, without salt"
Baby food: meat and dinners	"Carrots, cooked, boiled, drained, without salt"
Baby food: meat and dinners	"Rice flour, white, unenriched"
Baby food: meat and dinners	"Cheese, parmesan, grated"
Baby food: meat and dinners	"Butter, without salt"
Baby food: vegetable	"Babyfood, vegetables, carrots, strained"
Baby food: vegetable	"Babyfood, vegetables, carrots, junior"
Baby food: vegetable	"Babyfood, vegetables, carrots, strained"
Baby food: vegetable	"Babyfood, vegetables, carrots, junior"
Baby food: vegetable	"Babyfood, carrots, toddler"
Baby food: vegetable	"Babyfood, vegetables, carrots, strained"
Baby food: vegetable	"Babyfood, vegetables, peas, strained"
Baby food: vegetable	"Babyfood, vegetables, squash, strained"
Baby food: vegetable	"Babyfood, vegetables, squash, junior"
Baby food: vegetable	"Babyfood, vegetables, squash, strained"
Baby food: vegetable	"Babyfood, vegetables, squash, junior"
Baby food: vegetable	"Babyfood, vegetable, butternut squash and corn"
Baby food: vegetable	"Babyfood, corn and sweet potatoes, strained"
Baby food: vegetable	"Babyfood, vegetables, sweet potatoes strained"
Baby food: vegetable	"Babyfood, vegetables, sweet potatoes, junior"
Baby food: vegetable	"Babyfood, vegetables, sweet potatoes strained"
Baby food: vegetable	"Babyfood, vegetables, sweet potatoes, junior"
Baby food: vegetable	"Babyfood, vegetables, green beans, strained"
Baby food: vegetable	"Babyfood, vegetables, green beans, junior"
Baby food: vegetable	"Babyfood, vegetables, green beans, strained"
Baby food: vegetable	"Babyfood, vegetables, green beans, junior"
Baby food: vegetable	"Babyfood, green beans, dices, toddler"
Baby food: vegetable	"Babyfood, vegetable, green beans and potatoes"
Baby food: vegetable	"Babyfood, vegetables, beets, strained"
Baby food: vegetable	"Babyfood, vegetables, corn, creamed, strained"
Baby food: vegetable	"Babyfood, vegetables, corn, creamed, junior"
Baby food: vegetable	"Babyfood, vegetables, corn, creamed, strained"
Baby food: vegetable	"Babyfood, vegetables, corn, creamed, junior"
Baby food: vegetable	"Babyfood, vegetables, mix vegetables junior"
Baby food: vegetable	"Babyfood, vegetables, garden vegetable, strained"
Baby food: vegetable	"Babyfood, dinner, mixed vegetable, junior"
Baby food: vegetable	"Babyfood, vegetables, mix vegetables junior"
Baby food: vegetable	"Babyfood, vegetables, peas, strained"
Baby food: vegetable	"Babyfood, vegetables, peas, strained"
Baby food: vegetable	"Babyfood, vegetables, peas, strained"
Baby food: vegetable	"Babyfood, peas, dices, toddler"
Baby food: vegetable	"Babyfood, potatoes, toddler"
Baby food: meat and dinners	"Babyfood, vegetable and brown rice, strained"
Baby food: meat and dinners	"Babyfood, peas and brown rice"
Baby food: meat and dinners	"Babyfood, carrots and beef, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and beef, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and beef, junior"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and beef, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and beef, junior"
Baby food: meat and dinners	"Babyfood, dinner, broccoli and chicken, junior"
Baby food: meat and dinners	"Babyfood, dinner, sweet potatoes and chicken, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables chicken, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and chicken, junior"
Baby food: meat and dinners	"Babyfood, dinner, vegetables chicken, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and chicken, junior"
Baby food: meat and dinners	"Babyfood, mashed cheddar potatoes and broccoli, toddlers"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and turkey, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and turkey, junior"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and turkey, strained"
Baby food: meat and dinners	"Babyfood, dinner, vegetables and turkey, junior"
Mashed potatoes and white potato mixtures	"Potatoes, flesh and skin, raw"
Mashed potatoes and white potato mixtures	"Wheat flour, white, all-purpose, enriched, bleached"
Mashed potatoes and white potato mixtures	"Ground beef, raw"
Mashed potatoes and white potato mixtures	Puerto Rican seasoning with ham
Mashed potatoes and white potato mixtures	"Salt, table"
Mashed potatoes and white potato mixtures	"Olives, pickled, canned or bottled, green"
Mashed potatoes and white potato mixtures	"Egg, whole, raw, fresh"
Mashed potatoes and white potato mixtures	"Vegetable oil, NFS"
Mashed potatoes and white potato mixtures	"Potatoes, flesh and skin, raw"
Mashed potatoes and white potato mixtures	"Pork, cured, ham, extra lean and regular, canned, unheated"
Mashed potatoes and white potato mixtures	"Egg, whole, raw, fresh"
Mashed potatoes and white potato mixtures	"Salt, table"
Mashed potatoes and white potato mixtures	"Vegetable oil, NFS"
Poultry mixed dishes	"Wheat flour, white, all-purpose, enriched, bleached"
Poultry mixed dishes	"Salt, table"
Poultry mixed dishes	"Vegetable oil, NFS"
Poultry mixed dishes	"Leavening agents, baking powder, double-acting, sodium aluminum sulfate"
Poultry mixed dishes	"Water, tap, drinking"
Poultry mixed dishes	"Chicken, NS as to part, rotisserie, skin not eaten"
Poultry mixed dishes	"Spices, oregano, dried"
Poultry mixed dishes	"Garlic, raw"
Poultry mixed dishes	"Vinegar, cider"
Poultry mixed dishes	"Oil, olive, salad or cooking"
Poultry mixed dishes	"Tomato products, canned, sauce"
Poultry mixed dishes	"Onions, raw"
Poultry mixed dishes	"Olives, pickled, canned or bottled, green"
Poultry mixed dishes	"Potatoes, flesh and skin, raw"
Vegetable mixed dishes	"Plantains, raw"
Vegetable mixed dishes	"Pork, cracklings, cooked"
Vegetable mixed dishes	"Vegetable oil, NFS"
Vegetable mixed dishes	"Plantains, raw"
Vegetable mixed dishes	"Egg, whole, raw, fresh"
Vegetable mixed dishes	"Vegetable oil, NFS"
Vegetable mixed dishes	"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw"
Vegetable mixed dishes	"Ground beef, raw"
Vegetable mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Vegetable mixed dishes	"Pork, cured, salt pork, raw"
Vegetable mixed dishes	"Peppers, sweet, green, raw"
Vegetable mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Vegetable mixed dishes	"Onions, raw"
Vegetable mixed dishes	"Olives, pickled, canned or bottled, green"
Vegetable mixed dishes	"Garlic, raw"
Vegetable mixed dishes	"Tomato products, canned, sauce"
Vegetable mixed dishes	"Spices, oregano, dried"
Meat mixed dishes	"Plantains, raw"
Meat mixed dishes	"Beans, snap, green, raw"
Meat mixed dishes	"Egg, whole, raw, fresh"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Ground beef, raw"
Meat mixed dishes	"Tomato products, canned, puree, without salt added"
Meat mixed dishes	"Garlic, raw"
Meat mixed dishes	"Olives, pickled, canned or bottled, green"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Pork, cured, salt pork, raw"
Meat mixed dishes	"Cassava, raw"
Meat mixed dishes	"Milk, whole, 3.25% milkfat, with added vitamin D"
Meat mixed dishes	"Pork, cured, salt pork, raw"
Meat mixed dishes	"Peppers, hot chili, green, raw"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Pork, fresh, shoulder, whole, separable lean and fat, raw"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Peppers, hot chili, red, raw"
Meat mixed dishes	"Olives, pickled, canned or bottled, green"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Parsley, fresh"
Meat mixed dishes	"Coriander (cilantro) leaves, raw"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Capers, canned"
Seafood mixed dishes	"Cassava, raw"
Seafood mixed dishes	"Milk, whole, 3.25% milkfat, with added vitamin D"
Seafood mixed dishes	"Salt, table"
Seafood mixed dishes	"Oil, olive, salad or cooking"
Seafood mixed dishes	"Crustaceans, crab, blue, cooked, moist heat"
Seafood mixed dishes	"Peppers, sweet, green, raw"
Seafood mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Seafood mixed dishes	"Peppers, sweet, green, raw"
Seafood mixed dishes	"Garlic, raw"
Seafood mixed dishes	"Pork, cured, salt pork, raw"
Seafood mixed dishes	"Onions, raw"
Seafood mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Seafood mixed dishes	"Spices, oregano, dried"
Seafood mixed dishes	"Olives, pickled, canned or bottled, green"
Seafood mixed dishes	"Tomato products, canned, sauce"
Seafood mixed dishes	"Vinegar, distilled"
Seafood mixed dishes	"Spices, pepper, black"
Seafood mixed dishes	"Capers, canned"
Meat mixed dishes	"Taro, raw"
Meat mixed dishes	"Plantains, raw"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw"
Meat mixed dishes	"Ground beef, raw"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Pork, cured, salt pork, raw"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Olives, pickled, canned or bottled, green"
Meat mixed dishes	"Garlic, raw"
Meat mixed dishes	"Tomato products, canned, sauce"
Meat mixed dishes	"Spices, oregano, dried"
Vegetable mixed dishes	"Taro, raw"
Vegetable mixed dishes	"Egg, whole, raw, fresh"
Vegetable mixed dishes	"Cheese, parmesan, grated"
Vegetable mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Plantains, raw"
Meat mixed dishes	"Taro, raw"
Meat mixed dishes	"Milk, whole, 3.25% milkfat, with added vitamin D"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Olives, pickled, canned or bottled, green"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Pork, cured, salt pork, raw"
Meat mixed dishes	"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
Meat mixed dishes	"Spices, coriander leaf, dried"
Meat mixed dishes	"Peppers, hot chili, green, raw"
Meat mixed dishes	"Spices, oregano, dried"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Cabbage, raw"
Meat mixed dishes	"Tomato products, canned, sauce"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Margarine, stick, salted"
Meat mixed dishes	"Sugars, granulated"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw"
Meat mixed dishes	"Ground beef, raw"
Meat mixed dishes	Puerto Rican seasoning with ham
Meat mixed dishes	"Cabbage, raw"
Meat mixed dishes	"Rice, white, long-grain, regular, raw, enriched"
Meat mixed dishes	"Ground beef, raw"
Meat mixed dishes	"Tomato products, canned, sauce"
Meat mixed dishes	"Garlic, raw"
Meat mixed dishes	"Lime juice, raw"
Meat mixed dishes	"Oil, olive, salad or cooking"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Spices, pepper, black"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Eggplant, cooked, boiled, drained, without salt"
Meat mixed dishes	"Ground beef, cooked"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Onions, cooked, boiled, drained, without salt"
Meat mixed dishes	"Garlic, raw"
Meat mixed dishes	"Tomatoes, red, ripe, canned, packed in tomato juice"
Meat mixed dishes	"Tomato products, canned, paste, without salt added"
Meat mixed dishes	"Spices, cinnamon, ground"
Meat mixed dishes	"Sugars, granulated"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Parsley, fresh"
Meat mixed dishes	"Egg, whole, raw, fresh"
Meat mixed dishes	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
Meat mixed dishes	"Cheese, parmesan, grated"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Garlic, raw"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Cabbage, raw"
Meat mixed dishes	"Carrots, raw"
Meat mixed dishes	"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Salt, table"
Meat mixed dishes	"Chorizo, pork and beef"
Meat mixed dishes	"Potatoes, flesh and skin, raw"
Meat mixed dishes	"Beans, snap, green, raw"
Meat mixed dishes	"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw"
Meat mixed dishes	"Pork, fresh, spareribs, separable lean and fat, raw"
Meat mixed dishes	"Water, tap, drinking"
Meat mixed dishes	"Pork, cured, ham, center slice, country-style, separable lean only, raw"
Meat mixed dishes	"Vegetable oil, NFS"
Meat mixed dishes	"Tomato products, canned, sauce"
Meat mixed dishes	"Taro, raw"
Meat mixed dishes	"Potatoes, flesh and skin, raw"
Meat mixed dishes	"Pumpkin, raw"
Meat mixed dishes	"Plantains, raw"
Meat mixed dishes	"Sweet potato, raw, unprepared"
Meat mixed dishes	"Tomatoes, red, ripe, raw, year round average"
Meat mixed dishes	"Peppers, sweet, green, raw"
Meat mixed dishes	"Onions, raw"
Meat mixed dishes	"Spices, oregano, dried"
Other fruit juice	"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E"
Smoothies and grain drinks	"Bananas, raw"
Smoothies and grain drinks	"Spinach, raw"
Smoothies and grain drinks	"Milk, NFS"
Smoothies and grain drinks	"Orange juice, 100%, NFS"
Smoothies and grain drinks	"Bananas, raw"
Smoothies and grain drinks	"Spinach, raw"
Smoothies and grain drinks	"Milk, NFS"
Smoothies and grain drinks	"Orange juice, 100%, NFS"
Smoothies and grain drinks	"Beverages, Protein powder whey based"
Smoothies and grain drinks	"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE"
